"date","code","delta","value"
2004-07-09,RUB,-2250,109360.33999999992
2004-07-10,RUB,-1800,107560.33999999992
2004-07-11,RUB,-1380,106180.33999999992
2004-07-12,RUB,-20990,85190.33999999992
2004-07-17,RUB,-500.12,84690.21999999993
2004-07-18,RUB,-450,84240.21999999993
2004-07-20,RUB,-700,83540.21999999993
2004-07-21,RUB,-2200,81340.21999999993
2004-07-25,RUB,-800,80540.21999999993
2004-07-26,RUB,-936,79604.21999999993
2004-07-28,RUB,-235,79369.21999999993
2004-07-29,RUB,-2209,77160.21999999993
2004-07-30,RUB,-2240,74920.21999999993
2004-08-02,RUB,-400,74520.21999999993
2004-08-06,RUB,-10590,63930.21999999993
2004-08-07,RUB,-1000,62930.21999999993
2004-08-12,RUB,41571,104501.21999999993
2004-08-13,RUB,-1300,103201.21999999993
2004-08-16,RUB,-8000,95201.21999999993
2004-08-18,RUB,-3500,91701.21999999993
2004-08-19,RUB,-1640,90061.21999999993
2004-08-24,RUB,17447.5,107508.71999999993
2004-08-26,RUB,-1200,106308.71999999993
2004-08-27,RUB,-50,106258.71999999993
2004-08-28,RUB,-365,105893.71999999993
2004-08-31,RUB,-16735,89158.71999999993
2004-09-02,RUB,133,89291.71999999993
2004-09-04,RUB,-36202,53089.71999999993
2004-09-05,RUB,-1120,51969.71999999993
2004-09-11,RUB,-550,51419.71999999993
2004-09-12,RUB,-890,50529.71999999993
2004-09-13,RUB,-2860,47669.71999999993
2004-09-15,RUB,-10130,37539.71999999993
2004-09-16,RUB,-390,37149.71999999993
2004-09-17,RUB,-120,37029.71999999993
2004-09-18,RUB,-900,36129.71999999993
2004-09-19,RUB,-1280,34849.71999999993
2004-09-20,RUB,-140,34709.71999999993
2004-09-24,RUB,-10330,24379.71999999993
2004-09-25,RUB,-10000,14379.719999999928
2004-09-26,RUB,-300,14079.719999999928
2004-09-28,RUB,-1519,12560.719999999928
2004-09-30,RUB,-571,11989.719999999928
2004-10-01,RUB,42128.05,54117.76999999993
2004-10-02,RUB,-22500,31617.76999999993
2004-10-05,RUB,-1400,30217.76999999993
2004-10-09,RUB,-1690.22,28527.54999999993
2004-10-16,RUB,-6720,21807.54999999993
2004-10-18,RUB,-1010,20797.54999999993
2004-10-19,RUB,-1660,19137.54999999993
2004-10-22,RUB,-70,19067.54999999993
2004-10-23,RUB,-11000,8067.54999999993
2004-10-24,RUB,-2140,5927.54999999993
2004-10-25,RUB,-4850,1077.5499999999302
2004-10-27,RUB,-220,857.5499999999302
2004-10-28,RUB,-370,487.54999999993015
2004-10-29,RUB,42021,42508.54999999993
2004-10-30,RUB,-2330,40178.54999999993
2004-10-31,RUB,-1139,39039.54999999993
2004-11-01,RUB,-881,38158.54999999993
2004-11-05,RUB,-1150,37008.54999999993
2004-11-06,RUB,-2819,34189.54999999993
2004-11-07,RUB,-2450,31739.54999999993
2004-11-08,RUB,-3128,28611.54999999993
2004-11-09,RUB,-1473,27138.54999999993
2004-11-10,RUB,-100,27038.54999999993
2004-11-12,RUB,-2325,24713.54999999993
2004-11-13,RUB,-674,24039.54999999993
2004-11-14,RUB,-781,23258.54999999993
2004-11-16,RUB,-750,22508.54999999993
2004-11-21,RUB,-6362,16146.54999999993
2004-11-22,RUB,-500,15646.54999999993
2004-11-24,RUB,-1068,14578.54999999993
2004-11-26,RUB,-500,14078.54999999993
2004-11-27,RUB,-1070,13008.54999999993
2004-11-28,RUB,-1865,11143.54999999993
2004-12-02,RUB,-2135,9008.54999999993
2004-12-05,RUB,-3000,6008.54999999993
2004-12-07,RUB,-620,5388.54999999993
2004-12-08,RUB,-2230,3158.54999999993
2004-12-10,RUB,41391,44549.54999999993
2004-12-11,RUB,-1782,42767.54999999993
2004-12-12,RUB,-1568,41199.54999999993
2004-12-13,RUB,-1050,40149.54999999993
2004-12-16,RUB,-610,39539.54999999993
2004-12-18,RUB,-300,39239.54999999993
2004-12-19,RUB,-7010,32229.54999999993
2004-12-23,RUB,-240,31989.54999999993
2004-12-25,RUB,-1790,30199.54999999993
2004-12-26,RUB,-620,29579.54999999993
2004-12-27,RUB,41085.92,70665.46999999993
2004-12-28,RUB,-550,70115.46999999993
2004-12-30,RUB,-3330,66785.46999999993
2005-01-02,RUB,-710,66075.46999999993
2005-01-08,RUB,-2010,64065.46999999993
2005-01-09,RUB,-1254,62811.46999999993
2005-01-10,RUB,-1706,61105.46999999993
2005-01-15,RUB,-900,60205.46999999993
2005-01-16,RUB,-260,59945.46999999993
2005-01-18,RUB,-1280,58665.46999999993
2005-01-21,RUB,-160,58505.46999999993
2005-01-22,RUB,-1540,56965.46999999993
2005-01-23,RUB,-175,56790.46999999993
2005-01-24,RUB,-300,56490.46999999993
2005-01-25,RUB,-1035,55455.46999999993
2005-01-26,RUB,-610,54845.46999999993
2005-01-27,RUB,-1320,53525.46999999993
2005-01-28,RUB,-6600,46925.46999999993
2005-01-29,RUB,-1370,45555.46999999993
2005-01-31,RUB,42021,87576.46999999993
2005-02-07,USD,100,100
2005-02-07,RUB,25780,113356.46999999993
2005-02-08,RUB,-1500,111856.46999999993
2005-02-10,RUB,-44325,67531.46999999993
2005-02-13,RUB,-5854,61677.46999999993
2005-02-14,RUB,-2601,59076.46999999993
2005-02-16,RUB,-1700,57376.46999999993
2005-02-19,RUB,-3000,54376.46999999993
2005-02-20,RUB,-1760,52616.46999999993
2005-02-21,RUB,-1320,51296.46999999993
2005-02-23,RUB,-450,50846.46999999993
2005-02-24,RUB,-23,50823.46999999993
2005-02-25,RUB,-313,50510.46999999993
2005-02-26,RUB,-28548,21962.46999999993
2005-02-27,RUB,-4128,17834.46999999993
2005-02-28,RUB,42021,59855.46999999993
2005-03-04,RUB,-709,59146.46999999993
2005-03-05,RUB,-25,59121.46999999993
2005-03-06,RUB,-64,59057.46999999993
2005-03-07,RUB,-3328,55729.46999999993
2005-03-08,RUB,-822,54907.46999999993
2005-03-09,RUB,-1550,53357.46999999993
2005-03-10,RUB,-600,52757.46999999993
2005-03-13,RUB,-2065,50692.46999999993
2005-03-14,RUB,-280,50412.46999999993
2005-03-16,RUB,-510,49902.46999999993
